id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
1107994,Lennox head bed and breakfast,5021072,Carolyn And Murray,,BALLINA SHIRE COUNCIL,-28.79601,153.58916,Entire home/apt,120,1,80,2019-04-28,1.21,2,356
1115553,"Byron Bay - Eco Friendly Home , Broken Head",3262952,Helena,,BYRON SHIRE COUNCIL,-28.71614,153.60095,Entire home/apt,409,5,3,2019-04-28,0.10,2,358
1123030,Family home: Beach & Mountain views,6161143,Katerina,,TWEED SHIRE COUNCIL,-28.26379,153.57389,Entire home/apt,97,5,0,,,2,365
1127830,"Glenview Studio, Alstonville, NSW",6188172,Anne,,BALLINA SHIRE COUNCIL,-28.78807,153.44898,Entire home/apt,120,2,120,2019-05-21,1.66,1,337
1127995,Secluded Coastal Forest Retreat  ,6189086,Michael,,TWEED SHIRE COUNCIL,-28.34901,153.55947,Private room,150,1,9,2015-04-13,0.14,1,365
1130515,On the Beach @ East Light Byron Bay,6202217,Jenny,,BYRON SHIRE COUNCIL,-28.6442,153.62057,Entire home/apt,400,2,31,2019-04-17,0.44,11,214
1130918,Clarkes Beach Retreat,6202217,Jenny,,BYRON SHIRE COUNCIL,-28.64562,153.62213,Entire home/apt,400,2,13,2019-04-29,0.40,11,182
1130939,Seadrift 1 - Boutique Apartment,6202217,Jenny,,BYRON SHIRE COUNCIL,-28.65116,153.61234,Entire home/apt,400,3,42,2019-04-22,0.63,11,332
1130956,"Nightcap Cottage, what a view!!",4859878,Susie,,BYRON SHIRE COUNCIL,-28.68218,153.43825,Entire home/apt,181,2,7,2018-07-22,0.10,2,304
1133269,BIRDLAND BEACHFRONT BYRON BAY,3495465,Ben & Joc,,BYRON SHIRE COUNCIL,-28.65715,153.62331,Entire home/apt,1199,3,56,2019-04-25,1.45,3,297
1145806,The Perch in the Byron Hinterland,5217504,Jennifer,,BYRON SHIRE COUNCIL,-28.6148,153.5196,Entire home/apt,175,3,30,2019-02-15,0.44,5,352
1159958,A PERFECT STAY - Quiksilver Apartments - The Pass,1649158,A Perfect Stay,,BYRON SHIRE COUNCIL,-28.6424,153.61302,Entire home/apt,407,2,11,2019-04-26,0.16,114,238
1165296,Magnificent 5 star at Peppers Bale ,6382475,Robyn,,TWEED SHIRE COUNCIL,-28.27668,153.57774,Entire home/apt,349,2,23,2019-01-11,0.32,1,240
1227385,Tree House Upstairs Studio,6694798,Jeanine,,BYRON SHIRE COUNCIL,-28.65327,153.62016,Entire home/apt,150,2,14,2018-10-11,0.26,7,86
